"A"||"A"|||0|0|0|25|30|35||30||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|90|97|100|1|7|8|0|0.1|0.3|0|0.1|0.3|0|0.1|0.5|0.1|0.4|0.5|1|6.3|8|57|60|67||33|||27||28|33|35|0|0|0|2|3|4||||1.2|1.3|1.45||||1.4|1.5|1.56|2.65|1.41|2.7|4.23|0.2|0.21|0.22||||31|33.2|34.4|16.9|20.5|22.7|43|48|52|3|4.8|6|42|49|53|19|23|25|18|25|29|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.1|2|22|26|29||||16.2|23.1|28.8|5.6|6.5|7.3|5.1|6.2|7.3|||||||3.1|6.1|9.2|||||||||||||||||||||"21905235"|"64605681"
"C"||"C"|||112|132|152|200|200|200||68||0|0|0|0|0|0|100|100|100|100|100|100|96|100|100|92|97|100|4|6|8|0|0.1|0.2|0|0.1|0.2|0|0.2|0.4|0.1|0.3|0.5|3.3|5.3|7.3|55|63|71||37|||26||25|31|37|0|0|0|0.2|0.3|0.4||||1.32|1.36|1.4||||1.4|1.49|1.58|2.65|1.41|2.7|4.23|0.18|0.19|0.2||||28.9|31.2|33.3|13.8|17.2|20.6|45|46|48|3|3.5|6|35|41|48|17|22|26|15|22|29|".49"|".49"|0|1|2|0|0|0|0|0|0|0|0.3|2|23|25|27||||21.8|25|27|6.6|7.4|8.4|6.1|6.8|7.3|||||||0|2.6|5|||||||||||||||||||||"21905235"|"64605684"
"Bt1"||"B"||1|27|36|45|45|50|65||14||0|0|0|0|0|0|100|100|100|100|100|100|98|100|100|95|99|100|1|2|4|0|0|1|0|0.1|1|0|0.2|1|0|0.3|1|0.5|1.4|5|46|52|57||26|||26||42|46|52|0|0|0|0.5|1|1.5||||1.3|1.4|1.5||||1.76|1.86|1.97|2.65|0.01|0.22|0.42|0.12|0.14|0.16||||31.3|32.8|34.6|23.2|26|29.7|41|45|48|9|10|12|54|59|66|31|34|38|33|39|45|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.3|2|30.7|33.9|38.2||||28.3|30.9|37.9|5.6|6.4|7.3|5.1|5.9|6.5|||||||3.5|6.5|9.4|||||||||||||||||||||"21905236"|"64605687"
"Ap"||"A"|||0|0|0|15|20|25||20||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|94|98|100|1|4|6|0|0.1|1|0|0.1|1|0|0.3|1|0|0.6|1|0.5|2.9|5|55|61|68||35|||26||31|35|39|0|0|0|2|3|4||||1.2|1.3|1.4||||1.46|1.56|1.68|2.65|1.41|2.7|4.23|0.21|0.22|0.23||||32|33.8|35.5|18.4|21.6|24.7|45|48|52|6|6.2|9|46|51|59|22|25|28|23|28|34|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0.3|2|24.7|27.8|30.8||||20.8|24.9|28.1|5.6|6|6.5|5.1|5.5|6|||||||5.6|7.6|9.4|||||||||||||||||||||"21905236"|"64605685"
"BA"||"BA"|||15|20|25|27|36|45||16||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|94|98|100|1|3|5|0|0|1|0|0.1|1|0|0.2|1|0|0.3|1|0.5|2.4|5|53|59|65||33|||26||34|38|42|0|0|0|1|2|3||||1.25|1.35|1.45||||1.55|1.65|1.75|2.65|1.41|2.7|4.23|0.18|0.19|0.2||||32.6|34.5|36.1|19.5|22.8|26|43|47|50|6|7|9|46|52|59|24|27|30|24|30|36|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0.3|2|26.2|29.5|32.5||||23.9|25.8|30.6|5.6|6|6.5|5.1|5.5|6|||||||5.4|7.5|9.3|||||||||||||||||||||"21905236"|"64605686"
"Bt2"||"B"||2|45|50|65|80|102|120||52||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|2|4|0|0.1|1|0|0.1|1|0|0.1|1|0|0.2|1|0.5|1.5|5|52|59|64||27|||32||35|39|45|0|0|0|0.3|0.5|0.8||||1.3|1.4|1.5||||1.64|1.74|1.81|2.65|0.42|0.91|1.41|0.16|0.17|0.18||||32.9|34.3|36.2|20|22.4|26.1|41|45|48|6|7.5|9|46|51|57|25|28|33|25|31|38|".37"|".37"|0|0|2|0|0|0|0|0|0|0|0.3|2|25.8|28.8|33.1||||24.4|27.5|72.1|6.1|6.9|7.3|5.6|6.5|7.3|||||||2.9|4.4|7.2|||||||||||||||||||||"21905236"|"64605688"
"BC"||"BC"|||80|102|120|90|120|150||18||0|0|0|0|0|0|100|100|100|100|100|100|98|100|100|95|99|100|1|2|4|0|0.1|1|0|0.1|1|0|0.1|1|0|0.2|1|0.5|1.5|5|56|62|67||27|||35||32|36|40|0|0|0|0|0.3|0.5||||1.25|1.35|1.45||||1.54|1.64|1.75|2.65|1.41|2.7|4.23|0.16|0.17|0.18||||31.3|32.8|34.1|17.3|19.8|22.2|43|47|50|6|6.8|9|43|47|52|23|26|29|23|28|33|".43"|".43"|0|0|2|0|0|0|0|0|0|0|0.3|2|21.7|26.4|29.4||||19|26.3|68.4|6.6|7.3|7.8|6.1|6.8|7.3|||||||1|3|5.3|||||||||||||||||||||"21905236"|"64605689"
"C"||"C"|||90|120|150|200|200|200||80||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|95|99|100|1|2|5|0|0.1|1|0|0.1|1|0|0.1|1|0|0.2|1|0.5|1.5|5|58|65|71||32|||33||28|33|38|0|0|0|0|0.2|0.4||||1.25|1.35|1.45||||1.46|1.56|1.61|2.65|1.41|2.7|4.23|0.18|0.19|0.2||||29.8|31.8|33.5|15.1|18.1|21|43|47|50|3|5|6|37|43|49|19|23|27|18|24|30|".43"|".43"|0|0|2|0|0|0|0|0|0|0|0.3|2|19.4|24.2|27.9||||19.2|25.7|66.9|6.6|7.5|7.8|6.1|6.9|7.3|||||||0.7|2.2|5.1|||||||||||||||||||||"21905236"|"64605690"
"Ap"||"A"|||0|0|0|15|20|25||20||0|0|0|0|0|0|100|100|100|100|100|100|96|99|100|86|92|97|10|16|22|0|0.1|0.2|0|0.3|0.6|0.1|0.8|1.6|0.5|1.5|4|8.3|13.3|18.3|52|60|69||44|||16||20|24|26|0|0|0|2|3|4||||1.18|1.24|1.3||||1.28|1.36|1.44|2.65|4.23|9|14.11|0.2|0.21|0.23||||23.8|26.1|27.8|11.1|12.5|13.9|47|49|51|3|3.1|6|35|40|46|13|16|18|11|16|20|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.2|2|16|19|22||||12.6|17.5|20.6|5.6|6.1|6.5|5.1|5.6|6|||||||4.6|6.4|8.4|||||||||||||||||||||"21905237"|"64605691"
"BA"||"BA"|||15|20|25|30|38|46||18||0|0|0|0|0|0|100|100|100|100|100|100|97|100|100|88|93|99|8|14|19|0|0|0.1|0|0.1|0.3|0.1|0.3|0.6|0.5|0.7|1|8.9|12.9|17.9|50|58|65||41|||17||27|28|31|0|0|0|1|2|3||||1.24|1.28|1.32||||1.42|1.48|1.54|2.65|4.23|9|14.11|0.2|0.2|0.22||||24.3|26.1|27.3|13.6|16.6|19.6|46|48|49|3|4.4|6|39|42|48|19|19|22|16|19|25|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0.2|2|20|23|26||||19|21.7|25.4|6.1|6.5|7.3|5.1|5.9|6.5|||||||2.5|5.4|7.2|||||||||||||||||||||"21905237"|"64605692"
