25|50|76|122|200|200|"Moist"|"229338837"|"143888644"
10|30|50|25|50|76|"Wet"|"229338837"|"143888645"
25|50|76|122|200|200|"Moist"|"229338843"|"143888656"
10|30|50|25|50|76|"Wet"|"229338843"|"143888657"
25|50|76|122|200|200|"Moist"|"229338840"|"143888650"
10|30|50|25|50|76|"Wet"|"229338840"|"143888651"
25|50|76|122|200|200|"Moist"|"229338833"|"143888637"
10|30|50|25|50|76|"Wet"|"229338833"|"143888636"
25|50|76|122|200|200|"Moist"|"229338841"|"143888652"
10|30|50|25|50|76|"Wet"|"229338841"|"143888653"
25|50|76|122|200|200|"Moist"|"229339037"|"143888725"
10|30|50|25|50|76|"Wet"|"229339037"|"143888724"
25|50|76|122|200|200|"Moist"|"229339046"|"143888743"
10|30|50|25|50|76|"Wet"|"229339046"|"143888742"
25|50|76|122|200|200|"Moist"|"229339036"|"143888723"
10|30|50|25|50|76|"Wet"|"229339036"|"143888722"
25|50|76|122|200|200|"Moist"|"229339042"|"143888735"
10|30|50|25|50|76|"Wet"|"229339042"|"143888734"
25|50|76|122|200|200|"Moist"|"229339047"|"143888745"
10|30|50|25|50|76|"Wet"|"229339047"|"143888744"
25|50|76|122|200|200|"Moist"|"229339039"|"143888728"
10|30|50|25|50|76|"Wet"|"229339039"|"143888729"
25|50|76|122|200|200|"Moist"|"229339038"|"143888726"
10|30|50|25|50|76|"Wet"|"229339038"|"143888727"
25|50|76|122|200|200|"Moist"|"229339045"|"143888740"
10|30|50|25|50|76|"Wet"|"229339045"|"143888741"
25|50|76|122|200|200|"Moist"|"229339043"|"143888737"
10|30|50|25|50|76|"Wet"|"229339043"|"143888736"
25|50|76|122|200|200|"Moist"|"229339041"|"143888733"
10|30|50|25|50|76|"Wet"|"229339041"|"143888732"
25|50|76|122|200|200|"Moist"|"229339044"|"143888739"
10|30|50|25|50|76|"Wet"|"229339044"|"143888738"
25|50|76|122|200|200|"Moist"|"229339040"|"143888731"
10|30|50|25|50|76|"Wet"|"229339040"|"143888730"
0|0|0|200|200|200|"Moist"|"229339053"|"143888753"
0|0|0|200|200|200|"Moist"|"229339058"|"143888759"
0|0|0|200|200|200|"Moist"|"229339054"|"143888754"
0|0|0|200|200|200|"Moist"|"229339049"|"143888747"
0|0|0|100|140|180|"Moist"|"229339055"|"143888755"
100|140|180|200|200|200|"Wet"|"229339055"|"143888756"
0|0|0|100|140|180|"Moist"|"229339050"|"143888748"
100|140|180|200|200|200|"Wet"|"229339050"|"143888749"
