"Silt loam"||"130241390"|"132484133"
"Silty clay loam"||"130241391"|"132483995"
"Silt loam"||"130241392"|"132483037"
"Silt loam"||"130241393"|"132483159"
"Silty clay loam"||"130241394"|"132483160"
"Silty clay loam"||"130241397"|"132483036"
"Silt loam"||"130241396"|"132483994"
"Loam"||"130241395"|"132483161"
"Silty clay loam"||"130240677"|"132480196"
"Silty clay"||"130240681"|"132482316"
"Silty clay"||"130240682"|"132482317"
"Silty clay loam"||"130240683"|"132480197"
"Silty clay loam"||"130240678"|"132480622"
"Silty clay"||"130240679"|"132480621"
"Silty clay loam"||"130240680"|"132480198"
"Silty clay"||"130240685"|"132481535"
"Silty clay"||"130240692"|"132481823"
"Clay"||"130240693"|"132481824"
"Silty clay"||"130240686"|"132482920"
"Silty clay loam"||"130240687"|"132482790"
"Silt loam"||"130240689"|"132482791"
"Silty clay loam"||"130240688"|"132481534"
"Silty clay loam"||"130240690"|"132481821"
"Silty clay"||"130240691"|"132481822"
"Silty clay loam"||"130240684"|"132482919"
"Silty clay"||"130240701"|"132481817"
"Clay"||"130240702"|"132481818"
"Silty clay loam"||"130240703"|"132482913"
"Silty clay"||"130240694"|"132482785"
"Clay"||"130240695"|"132481530"
"Silty clay loam"||"130240696"|"132482786"
"Clay"||"130240697"|"132481819"
"Silty clay"||"130240698"|"132481820"
"Silty clay"||"130240699"|"132482914"
"Clay"||"130240700"|"132481529"
